index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
442,襟,,衣,18,S,1981,collar,キン,えり,5713,1
443,吟,,口,7,S,,versify,ギン,,11181,1
444,銀,,金,14,3,,silver,ギン,,1185,4
445,区,區,匸,4,3,,ward,ク,,3332,2
446,句,,口,5,5,,phrase,ク,,2388,1
447,苦,,艸,8,3,,suffer,ク,くる-しい|くる-しむ|くる-しめる|にが-い|にが-る,1984,3
448,駆,驅,馬,14,S,,drive,ク,か-ける|か-る,3829,1
449,具,,八,8,3,,tool,グ,,609,3
450,惧,,心,11,S,2010,dread,グ,,12015,1
451,愚,,心,13,S,,foolish,グ,おろ-か,6577,1
452,空,,穴,8,1,,sky,クウ,そら|あ-く|あ-ける|から,786,4
453,偶,,人,11,S,,accidentally,グウ,,1710,3
454,遇,,辵,12,S,,interview,グウ,,6325,1
455,隅,,阜,12,S,1981,corner,グウ,すみ,3471,2
456,串,,丨,7,S,2010,skewer,,くし,22534,1
457,屈,,尸,8,S,,yield,クツ,,4107,1
458,掘,,手,11,S,,dig,クツ,ほ-る,4007,2
459,窟,,穴,13,S,2010,cavern,クツ,,7695,1
460,熊,,火,14,4,2010,bear,,くま,3806,1
461,繰,,糸,19,S,,winding,,く-る,655,1
462,君,,口,7,3,,you,クン,きみ,390,3
463,訓,,言,10,4,,instruction,クン,,2764,2
464,勲,勳,力,15,S,,meritorious deed,クン,,16916,1
465,薫,薰,艸,16,S,,fragrant,クン,かお-る,9769,1
466,軍,,車,9,4,,army,グン,,3212,2
467,郡,,邑,10,4,,county,グン,,15454,1
468,群,,羊,13,4,,flock,グン,む-れる|む-れ（むら）,4279,2
469,兄,,儿,5,2,,older brother,ケイ（キョウ）,あに,1467,4
470,刑,,刀,6,S,,punish,ケイ,,3857,1
471,形,,彡,7,2,,shape,ケイ|ギョウ,かた|かたち,263,3
472,系,,糸,7,6,,lineage,ケイ,,5641,1
473,径,徑,彳,8,4,,diameter,ケイ,,4111,1
474,茎,莖,艸,8,S,,stalk,ケイ,くき,4828,1
475,係,,人,9,3,,person in charge,ケイ,かか-る|かかり,242,3
476,型,,土,9,5,,model,ケイ,かた,3246,2
477,契,,大,9,S,,pledge,ケイ,ちぎ-る,1470,1
478,計,,言,9,2,,measure,ケイ,はか-る|はか-らう,990,4
479,恵,惠,心,10,S,,favor,ケイ|エ,めぐ-む,2220,1
480,啓,,口,11,S,,disclose,ケイ,,15717,1
481,掲,揭,手,11,S,,put up (a notice),ケイ,かか-げる,891,1
482,渓,溪,水,11,S,1981,mountain stream,ケイ,,16605,1
483,経,經,糸,11,5,,manage,ケイ|キョウ,へ-る,600,3
484,蛍,螢,虫,11,S,1981,lightning-bug,ケイ,ほたる,7766,1
485,敬,,攴,12,6,,respect,ケイ,うやま-う,5325,2
486,景,,日,12,4,,scenery,ケイ,,1139,3
487,軽,輕,車,12,3,,light,ケイ,かる-い|かろ-やか,733,2
488,傾,,人,13,S,,lean,ケイ,かたむ-く|かたむ-ける,1005,2
489,携,,手,13,S,,portable,ケイ,たずさ-える|たずさ-わる,1641,1
490,継,繼,糸,13,S,,inherit,ケイ,つ-ぐ,2822,1
491,詣,,言,13,S,2010,visit a temple,ケイ,もう-でる,15873,1
492,慶,,心,15,S,,jubilation,ケイ,,9769,1
493,憬,,心,15,S,2010,long for,ケイ,,26677,1
494,稽,,禾,15,S,2010,consider,ケイ,,5337,1
495,憩,,心,16,S,,recess,ケイ,いこ-い|いこ-う,7755,1
496,警,,言,19,6,,guard against,ケイ,,929,3
497,鶏,鷄,鳥,19,S,,chicken,ケイ,にわとり,3727,1
498,芸,藝,艸,7,4,,art,ゲイ,,3308,2
499,迎,,辵,7,S,,welcome,ゲイ,むか-える,727,3
500,鯨,,魚,19,S,,whale,ゲイ,くじら,6479,1
501,隙,,阜,13,S,2010,fissure,ゲキ,すき,3257,1
502,劇,,刀,15,6,,drama,ゲキ,,4613,2
503,撃,擊,手,15,S,,beat,ゲキ,う-つ,2188,1
504,激,,水,16,6,,violent,ゲキ,はげ-しい,798,1
505,桁,,木,10,S,2010,beam,,けた,17103,1
506,欠,缺,缶,4,4,,lack,ケツ,か-ける|か-く,2797,3
507,穴,,穴,5,6,,hole,ケツ,あな,1262,1
508,血,,血,6,3,,blood,ケツ,ち,941,2
509,決,,水,7,3,,decide,ケツ,き-める|き-まる,407,3
510,結,,糸,12,4,,tie,ケツ,むす-ぶ|ゆ-う|ゆ-わえる,246,1
511,傑,,人,13,S,,greatness,ケツ,,8535,1
512,潔,,水,15,5,,undefiled,ケツ,いさぎよ-い,6360,1
513,月,,月,4,1,,month|moon,ゲツ|ガツ,つき,444,5
514,犬,,犬,4,1,,dog,ケン,いぬ,799,4
515,件,,人,6,5,,affair,ケン,,602,3
516,見,,見,7,1,,see,ケン,み-る|み-える|み-せる,51,5
517,券,,刀,8,6,,ticket,ケン,,8360,2
518,肩,,肉,8,S,,shoulder,ケン,かた,832,2
519,建,,廴,9,4,,build,ケン（コン）,た-てる|た-つ,854,4
520,研,硏,石,9,3,,sharpen,ケン,と-ぐ,665,4
521,県,縣,糸,9,3,,prefecture,ケン,,2153,2
522,倹,儉,人,10,S,,frugal,ケン,,46413,1
523,兼,,八,10,S,,concurrently,ケン,か-ねる,4420,1
524,剣,劍,刀,10,S,,sabre,ケン,つるぎ,2068,1
525,拳,,手,10,S,2010,fist,ケン,こぶし,5202,1
526,軒,,車,10,S,,flats,ケン,のき,6465,2
527,健,,人,11,4,,healthy,ケン,すこ-やか,1750,1
528,険,險,阜,11,5,,precipitous,ケン,けわ-しい,1474,3
529,圏,圈,囗,12,S,,sphere,ケン,,7003,1
530,堅,,土,12,S,,strict,ケン,かた-い,11770,1
531,検,檢,木,12,5,,examine,ケン,,975,1
532,嫌,,女,13,S,1981,dislike,ケン（ゲン）,きら-う|いや,565,1
533,献,獻,犬,13,S,,offering,ケン（コン）,,3438,1
534,絹,,糸,13,6,,silk,ケン,きぬ,7586,1
535,遣,,辵,13,S,,dispatch,ケン,つか-う|つか-わす,91,1
536,権,權,木,15,6,,rights,ケン（ゴン）,,886,3
537,憲,,心,16,6,,constitution,ケン,,2207,1
538,賢,,貝,16,S,,intelligent,ケン,かしこ-い,5126,2
539,謙,,言,17,S,,self-effacing,ケン,,10049,1
540,鍵,,金,17,S,2010,key,ケン,かぎ,1658,1
541,繭,,糸,18,S,,cocoon,ケン,まゆ,20746,1
542,顕,顯,頁,18,S,,appear,ケン,,3878,1
543,験,驗,馬,18,4,,test,ケン（ゲン）,,723,4
544,懸,,心,20,S,,suspend,ケン（ケ）,か-ける|か-かる,3918,1
545,元,,儿,4,2,,origin,ゲン|ガン,もと,638,4
546,幻,,幺,4,S,,phantasm,ゲン,まぼろし,6011,1
547,玄,,玄,5,S,,mysterious,ゲン,,1986,1
548,言,,言,7,2,,say,ゲン|ゴン,い-う|こと,24,4
549,弦,,弓,8,S,,bowstring,ゲン,つる,10132,1
550,限,,阜,9,5,,limit,ゲン,かぎ-る,554,3
551,原,,厂,10,2,,field,ゲン,はら,490,3
552,現,,玉,11,5,,appear,ゲン,あらわ-れる|あらわ-す,341,3
553,舷,,舟,11,S,2010,gunwale,ゲン,,50245,1
554,減,,水,12,5,,decrease,ゲン,へ-る|へ-らす,1142,2
555,源,,水,13,6,,origin,ゲン,みなもと,3536,1
556,厳,嚴,口,17,6,,strict,ゲン（ゴン）,おごそ-か|きび-しい,674,1
557,己,,己,3,6,,self,コ|キ,おのれ,1696,1
558,戸,,戶,4,2,,door,コ,と,2104,2
559,古,,口,5,2,,old,コ,ふる-い|ふる-す,794,4
560,呼,,口,8,6,,call,コ,よ-ぶ,205,3
561,固,,囗,8,4,,hard,コ,かた-める|かた-まる|かた-い,1148,2
562,股,,肉,8,S,2010,crotch,コ,また,9601,1
563,虎,,虍,8,S,2010,tiger,コ,とら,5877,1
564,孤,,子,9,S,,orphan,コ,,5957,1
565,弧,,弓,9,S,,arc,コ,,11408,1
566,故,,攴,9,5,,circumstances,コ,ゆえ,238,1
567,枯,,木,9,S,,wither,コ,か-れる|か-らす,5078,2
568,個,,人,10,5,,individual,コ,,897,2
569,庫,,广,10,3,,warehouse,コ（ク）,,2609,2
570,湖,,水,12,3,,lake,コ,みずうみ,4098,2
571,雇,,隹,12,S,,employ,コ,やと-う,3601,2
572,誇,,言,13,S,,boast,コ,ほこ-る,3296,1
573,鼓,,鼓,13,S,,drum,コ,つづみ,7035,1
574,錮,,金,16,S,2010,tie up,コ,,536048,1
575,顧,,頁,21,S,,look back,コ,かえり-みる,2775,1
576,五,,二,4,1,,five,ゴ,いつ|いつ-つ,225,5
577,互,,二,4,S,,mutually,ゴ,たが-い,1160,3
578,午,,十,4,2,,noon,ゴ,,331,5
579,呉,,口,7,S,,give,ゴ,,903,1
580,後,,彳,9,2,,behind,ゴ|コウ,のち|うし-ろ|あと|おく-れる,109,5
581,娯,,女,10,S,,recreation,ゴ,,11932,1
582,悟,,心,10,S,,enlightenment,ゴ,さと-る,3338,1
583,碁,,石,13,S,,Go,ゴ,,13392,1
584,語,,言,14,2,,language,ゴ,かた-る|かた-らう,578,5
585,誤,,言,14,6,,mistake,ゴ,あやま-る,3761,3
586,護,,言,20,5,,safeguard,ゴ,,2244,1
587,口,,口,3,1,,mouth,コウ|ク,くち,306,4
588,工,,工,3,2,,craft,コウ|ク,,2008,4
589,公,,八,4,2,,public,コウ,おおやけ,2043,4
590,勾,,勹,4,S,2010,capture,コウ,,16127,1
591,孔,,子,4,S,,cavity,コウ,,9756,1
592,功,,力,5,4,,achievement,コウ（ク）,,1330,1
593,巧,,工,5,S,,adroit,コウ,たく-み,4652,1
594,広,廣,广,5,2,,wide,コウ,ひろ-い|ひろ-まる|ひろ-める|ひろ-がる|ひろ-げる,588,4
595,甲,,田,5,S,,armor,コウ|カン,,5312,1
596,交,,亠,6,2,,mix,コウ,まじ-わる|まじ-える|ま-じる|ま-ざる|ま-ぜる|か-う|か-わす,1714,3
597,光,,儿,6,2,,ray,コウ,ひか-る|ひかり,586,3
598,向,,口,6,3,,over there,コウ,む-く|む-ける|む-かう|む-こう,325,3
599,后,,口,6,6,,empress,コウ,,9458,1
600,好,,女,6,4,,like,コウ,この-む|す-く,259,3
601,江,,水,6,S,,inlet,コウ,え,2104,1
602,考,,老,6,2,,think,コウ,かんが-える,80,4
603,行,,行,6,2,,go,コウ|ギョウ（アン）,い-く|ゆ-く|おこな-う,58,5
604,坑,,土,7,S,,pit,コウ,,41228,1
605,孝,,子,7,6,,filial piety,コウ,,24083,1
606,抗,,手,7,S,,confront,コウ,,2753,1
607,攻,,攴,7,S,,aggression,コウ,せ-める,2188,1
608,更,,曰,7,S,,grow late,コウ,さら|ふ-ける|ふ-かす,278,3
609,効,效,力,8,5,,effect,コウ,き-く,617,2
610,幸,,干,8,3,,happiness,コウ,さいわ-い|さち|しあわ-せ,1514,3
611,拘,,手,8,S,,arrest,コウ,,7212,1
612,肯,,肉,8,S,,agreement,コウ,,8072,2
613,侯,,人,9,S,,marquis,コウ,,23256,1
614,厚,,厂,9,5,,thick,コウ,あつ-い,2582,2
615,恒,恆,心,9,S,,constancy,コウ,,11352,1
616,洪,,水,9,S,1981,deluge,コウ,,6333,1
617,皇,,白,9,6,,emperor,コウ|オウ,,1718,1
618,紅,,糸,9,6,,deep red,コウ（ク）,べに|くれない,4584,2
619,荒,,艸,9,S,,laid waste,コウ,あら-い|あ-れる|あ-らす,6159,2
620,郊,,邑,9,S,,outskirts,コウ,,6450,2
621,香,,香,9,4,,incense,コウ（キョウ）,か|かお-り|かお-る,1325,2
622,候,,人,10,4,,climate,コウ,そうろう,5787,3
623,校,,木,10,1,,school,コウ,,424,5
624,耕,,耒,10,5,,till,コウ,たがや-す,10132,2
625,航,,舟,10,5,,cruise,コウ,,5152,2
626,貢,,貝,10,S,,tribute,コウ（ク）,みつ-ぐ,3438,1
627,降,,阜,10,6,,descend,コウ,お-りる|お-ろす|ふ-る,1369,3
628,高,,高,10,2,,tall|expensive,コウ,たか-い|たか|たか-まる|たか-める,168,5
629,康,,广,11,4,,health,コウ,,1750,1
630,控,,手,11,S,,withdraw,コウ,ひか-える,2504,1
631,梗,,木,11,S,2010,close up,コウ,,13642,1
632,黄,黃,黃,11,2,,yellow,コウ|オウ,き（こ）,3587,2
633,喉,,口,12,S,2010,throat,コウ,のど,1992,1
634,慌,,心,12,S,,disconcerted,コウ,あわ-てる|あわ-ただしい,1493,1
635,港,,水,12,3,,harbor,コウ,みなと,3633,3
636,硬,,石,12,S,,stiff,コウ,かた-い,11181,2
637,絞,,糸,12,S,,strangle,コウ,しぼ-る|し-める|し-まる,2458,1
638,項,,頁,12,S,,paragraph,コウ,,843,1
639,溝,,水,13,S,1981,gutter,コウ,みぞ,6225,1
640,鉱,鑛,金,13,5,,mineral,コウ,,14576,2
641,構,,木,14,5,,construct,コウ,かま-える|かま-う,726,3
642,綱,,糸,14,S,,hawser,コウ,つな,11323,1
643,酵,,酉,14,S,,fermentation,コウ,,7636,1
644,稿,,禾,15,S,,draft,コウ,,3530,1
645,興,,臼,16,5,,entertain,コウ|キョウ,おこ-る|おこ-す,936,1
646,衡,,行,16,S,,equilibrium,コウ,,6810,1
647,鋼,,金,16,6,,steel,コウ,はがね,10356,1
648,講,,言,17,5,,lecture,コウ,,1999,2
649,購,,貝,17,S,,subscription,コウ,,1081,1
650,乞,,乙,3,S,2010,beg,,こ-う,16973,1
651,号,號,虍,5,3,,number,ゴウ,,2841,3
652,合,,口,6,2,,fit,ゴウ|ガッ（カッ）,あ-う|あ-わす|あ-わせる,73,3
653,拷,,手,9,S,,torture,ゴウ,,9918,1
654,剛,,刀,10,S,,sturdy,ゴウ,,32442,1
655,傲,,人,13,S,2010,be proud,ゴウ,,14457,1
656,豪,,豕,14,S,,overpowering,ゴウ,,5512,1
657,克,,儿,7,S,,overcome,コク,,5194,1
658,告,,口,7,5,,tell,コク,つ-げる,1315,3
659,谷,,谷,7,2,,valley,コク,たに,3900,2
660,刻,,刀,8,6,,engrave,コク,きざ-む,2500,3
661,国,國,囗,8,2,,country,コク,くに,165,5
662,黒,黑,黑,11,2,,black,コク,くろ|くろ-い,914,4
663,穀,穀,禾,14,6,,cereals,コク,,8899,1
664,酷,,酉,14,S,,cruel,コク,,699,1
665,獄,,犬,14,S,,prison,ゴク,,3629,1
666,骨,,骨,10,6,,bone,コツ,ほね,1928,2
667,駒,,馬,15,S,2010,horse,,こま,10637,1
668,込,,辵,5,S,,crowded,,こ-む|こ-める,1302,3
669,頃,,頁,11,S,2010,times,,ころ,244,1
670,今,,人,4,2,,now,コン|キン,いま,112,5
671,困,,囗,7,6,,become distressed,コン,こま-る,632,3
672,昆,,日,8,S,1981,descendants,コン,,6893,1
673,恨,,心,9,S,,rancor,コン,うら-む|うら-めしい,5673,1
674,根,,木,10,3,,root,コン,ね,2246,2
675,婚,,女,11,S,,marriage,コン,,857,3
676,混,,水,11,5,,mix,コン,ま-じる|ま-ざる|ま-ぜる|こ-む,3483,2
677,痕,,疒,11,S,2010,mark,コン,あと,8535,1
678,紺,,糸,11,S,,dark blue,コン,,11932,1
679,魂,,鬼,14,S,,soul,コン,たましい,2124,1
680,墾,,土,16,S,,ground-breaking,コン,,37494,1
681,懇,,心,17,S,,sociable,コン,ねんご-ろ,13275,1
682,左,,工,5,1,,left (direction),サ,ひだり,977,5
683,佐,,人,7,4,,help,サ,,6136,1
684,沙,,水,7,S,2010,sand,サ,,19610,1
685,査,,木,9,5,,investigate,サ,,787,2
686,砂,,石,9,6,,sand,サ|シャ,すな,2640,2
687,唆,,口,10,S,,tempt,サ,そそのか-す,4718,1
688,差,,工,10,4,,distinction,サ,さ-す,675,3
689,詐,,言,12,S,,lie,サ,,6101,1
690,鎖,,金,18,S,,chain,サ,くさり,6838,1
691,座,,广,10,6,,sit,ザ,すわ-る,115,3
692,挫,,手,10,S,2010,sprain,ザ,,13023,1
693,才,,手,3,2,,genius,サイ,,2797,3
694,再,,冂,6,5,,again,サイ（サ）,ふたた-び,651,2
695,災,,火,7,5,,disaster,サイ,わざわ-い,2385,1
696,妻,,女,8,5,,wife,サイ,つま,559,3
697,采,,釆,8,S,2010,form,サイ,,23008,1
698,砕,碎,石,9,S,,smash,サイ,くだ-く|くだ-ける,7998,1
699,宰,,宀,10,S,,superintend,サイ,,18278,1
700,栽,,木,10,S,,plantation,サイ,,6691,1
701,彩,,彡,11,S,,coloring,サイ,いろど-る,5601,1
702,採,,手,11,5,,pick,サイ,と-る,1570,2
703,済,濟,水,11,6,,settle,サイ,す-む|す-ます,633,3
704,祭,,示,11,3,,festival,サイ,まつ-る|まつ-り,2857,2
705,斎,齋,齊,11,S,,purification,サイ,,7942,1
706,細,,糸,11,2,,thin,サイ,ほそ-い|ほそ-る|こま-か|こま-かい,1475,2
707,菜,,艸,11,4,,vegetable,サイ,な,1359,2
708,最,,曰,12,4,,most,サイ,もっと-も,303,3
709,裁,,衣,12,6,,judge,サイ,た-つ|さば-く,2231,1
710,債,,人,13,S,,bond,サイ,,3860,1
711,催,,人,13,S,,sponsor,サイ,もよお-す,977,1
712,塞,,土,13,S,2010,obstruct,サイ|ソク,ふさ-ぐ|ふさ-がる,4940,1
713,歳,,止,13,S,,year-end,サイ（セイ）,,4121,3
714,載,,車,13,S,,ride,サイ,の-せる|の-る,1416,1
715,際,,阜,14,5,,occasion,サイ,きわ,371,3
716,埼,,土,11,4,2010,cape (geography),（さい）,,5555,1
717,在,,土,6,5,,exist,ザイ,あ-る,341,3
718,材,,木,7,4,,lumber,ザイ,,998,2
719,剤,劑,刀,10,S,,dose,ザイ,,7482,1
720,財,,貝,10,5,,wealth,ザイ（サイ）,,1892,3
721,罪,,网,13,5,,guilt,ザイ,つみ,1529,3
722,崎,,山,11,4,1981,promontory,,さき,4629,1
723,作,,人,7,2,,make,サク|サ,つく-る,124,4
724,削,,刀,9,S,,plane,サク,けず-る,1902,1
725,昨,,日,9,4,,previous,サク,,791,3
726,柵,,木,9,S,2010,fence,サク,,7123,1
727,索,,糸,10,S,,cord,サク,,2698,1
728,策,,竹,12,6,,scheme,サク,,1522,1
729,酢,,酉,12,S,,vinegar,サク,す,2592,1
730,搾,,手,13,S,,squeeze,サク,しぼ-る,28287,1
731,錯,,金,16,S,,confused,サク,,7287,1
732,咲,,口,9,S,,blossom,,さ-く,1374,2
733,冊,,冂,5,6,,counter for books,サツ|サク,,4353,2
734,札,,木,5,4,,tag,サツ,ふだ,2821,2
735,刷,,刀,8,4,,printing,サツ,す-る,4270,2
736,刹,,刀,8,S,2010,temple,サツ|セツ,,14328,1
737,拶,,手,9,S,2010,be imminent,サツ,,1804,1
738,殺,殺,殳,10,5,,kill,サツ（サイ）（セツ）,ころ-す,622,3
739,察,,宀,14,4,,guess,サツ,,929,3
740,撮,,手,15,S,,snapshot,サツ,と-る,1787,1
741,擦,,手,17,S,,grate,サツ,す-る|す-れる,5263,1
742,雑,雜,隹,14,5,,miscellaneous,ザツ|ゾウ,,1577,3
743,皿,,皿,5,3,1981,dish,,さら,2847,2
744,三,,一,3,1,,three,サン,み|み-つ|みっ-つ,108,5
745,山,,山,3,1,,mountain,サン,やま,532,5
746,参,參,厶,8,4,,participate,サン,まい-る,672,3
747,桟,棧,木,10,S,1981,scaffold,サン,,16127,1
748,蚕,蠶,虫,10,6,,silkworm,サン,かいこ,23804,1
749,惨,慘,心,11,S,,wretched,サン|ザン,みじ-め,6029,1
750,産,,生,11,4,,give birth,サン,う-む|う-まれる|うぶ,1892,3
751,傘,,人,12,S,1981,umbrella,サン,かさ,4382,1
752,散,,攴,12,4,,scatter,サン,ち-る|ち-らす|ち-らかす|ち-らかる,3271,3
753,算,,竹,14,2,,calculate,サン,,1894,2
754,酸,,酉,14,5,,acid,サン,す-い,4433,1
755,賛,贊,貝,15,5,,approve,サン,,4968,3
756,残,殘,歹,10,4,,remainder,ザン,のこ-る|のこ-す,354,3
757,斬,,斤,11,S,2010,kill by slicing,ザン,き-る,13050,1
758,暫,,日,15,S,,temporarily,ザン,,595,1
759,士,,士,3,5,,gentleman,シ,,2244,1
760,子,,子,3,1,,child,シ|ス,こ,139,5
761,支,,支,4,5,,branch,シ,ささ-える,1050,3
762,止,,止,4,2,,stop,シ,と-まる|と-める,458,4
763,氏,,氏,4,4,,family name,シ,うじ,2234,1
764,仕,,人,5,3,,do,シ（ジ）,つか-える,180,4
765,史,,口,5,5,,history,シ,,647,2
766,司,,口,5,4,,director,シ,,2134,1
767,四,,囗,5,1,,four,シ,よ|よ-つ|よっ-つ|よん,153,5
768,市,,巾,5,2,,market,シ,いち,1204,3
769,矢,,矢,5,2,,arrow,シ,や,279,1
770,旨,,日,6,S,,delicious,シ,むね,375,1
771,死,,歹,6,3,,death,シ,し-ぬ,362,4
772,糸,絲,糸,6,1,,thread,シ,いと,2655,2
773,至,,至,6,6,,climax,シ,いた-る,650,1
774,伺,,人,7,S,,pay respects,シ,うかが-う,1917,2
775,志,,心,7,5,,intention,シ,こころざ-す|こころざし,2183,1
776,私,,禾,7,6,,me,シ,わたくし|わたし,47,4
777,使,,人,8,3,,use,シ,つか-う,114,4
778,刺,,刀,8,S,,thorn,シ,さ-す|さ-さる,2853,2
779,始,,女,8,3,,begin,シ,はじ-める|はじ-まる,380,4
780,姉,,女,8,2,,older sister,シ,あね,2281,4
781,枝,,木,8,5,,branch,シ,えだ,2492,2
782,祉,祉,示,8,S,,welfare,シ,,3083,1
783,肢,,肉,8,S,1981,limb,シ,,4501,1
784,姿,,女,9,6,,figure,シ,すがた,311,1
785,思,,心,9,2,,think,シ,おも-う,39,4
786,指,,手,9,3,,finger,シ,ゆび|さ-す,649,3
787,施,,方,9,S,,carry out,シ|セ,ほどこ-す,419,1
788,師,,巾,10,5,,expert,シ,,1263,3
789,恣,,心,10,S,2010,selfish,シ,,16661,1
790,紙,,糸,10,2,,paper,シ,かみ,877,4
791,脂,,肉,10,S,,fat,シ,あぶら,4663,2
792,視,視,見,11,6,,look at,シ,,1294,1
793,紫,,糸,12,S,,purple,シ,むらさき,5480,1
794,詞,,言,12,6,,poetry,シ,,3002,2
795,歯,齒,齒,12,3,,tooth,シ,は,1525,3
796,嗣,,口,13,S,,heir,シ,,48256,1
797,試,,言,13,4,,test,シ,こころ-みる|ため-す,1441,4
798,詩,,言,13,3,,poem,シ,,1770,1
799,資,,貝,13,5,,resources,シ,,688,3
800,飼,,食,13,5,,domesticate,シ,か-う,2623,1
801,誌,,言,14,6,,document,シ,,1660,2
802,雌,,隹,14,S,,feminine,シ,め|めす,3197,1
803,摯,,手,15,S,2010,seriousness,シ,,11642,1
804,賜,,貝,15,S,,grant,シ,たまわ-る,6605,1
805,諮,,言,16,S,,consult with,シ,はか-る,7929,1
806,示,,示,5,5,,indicate,ジ|シ,しめ-す,228,3
807,字,,子,6,1,,letter,ジ,あざ,815,4
808,寺,,寸,6,2,,Buddhist temple,ジ,てら,3523,2
809,次,,欠,6,3,,next,ジ|シ,つ-ぐ|つぎ,136,3
810,耳,,耳,6,1,,ear,ジ,みみ,658,3
811,自,,自,6,2,,oneself,ジ|シ,みずか-ら,68,4
812,似,,人,7,5,,becoming,ジ,に-る,619,3
813,児,兒,儿,7,4,,child,ジ（ニ）,,2956,2
814,事,,亅,8,3,,abstract thing,ジ（ズ）,こと,15,4
815,侍,,人,8,S,,waiter,ジ,さむらい,6220,1
816,治,,水,8,4,,govern,ジ|チ,おさ-める|おさ-まる|なお-る|なお-す,1106,3
817,持,,手,9,3,,hold,ジ,も-つ,84,4
818,時,,日,10,2,,time,ジ,とき,48,5
819,滋,,水,12,4,,nourishing,ジ,,10334,1
820,慈,,心,13,S,,mercy,ジ,いつく-しむ,18047,1
821,辞,辭,辛,13,4,,resign,ジ,や-める,6140,3
822,磁,,石,14,6,,magnet,ジ,,11884,1
823,餌,,食,15,S,2010,bait,ジ,えさ|え,2407,1
824,璽,,玉,19,S,,emperor's seal,ジ,,77818,1
825,鹿,,鹿,11,4,2010,deer,,しか（か）,1926,1
826,式,,弋,6,3,,style,シキ,,2127,3
827,識,,言,19,5,,discriminating,シキ,,934,3
828,軸,,車,12,S,,axis,ジク,,4235,1
829,七,,一,2,1,,seven,シチ,なな|なな-つ（なの）,418,5
830,叱,,口,5,S,2010,scold,シツ,しか-る,2571,1
831,失,,大,5,4,,lose,シツ,うしな-う,635,3
832,室,,宀,9,2,,room,シツ,むろ,2372,4
833,疾,,疒,10,S,,rapidly,シツ,,6029,1
834,執,,土,11,S,,tenacious,シツ|シュウ,と-る,5155,1
835,湿,濕,水,12,S,,damp,シツ,しめ-る|しめ-す,5897,2
836,嫉,,女,13,S,2010,envy,シツ,,6860,1
837,漆,,水,14,S,,lacquer,シツ,うるし,17900,1
838,質,,貝,15,5,,quality,シツ|シチ（チ）,,379,4
839,実,實,宀,8,3,,truth,ジツ,み|みの-る,371,3
840,芝,,艸,6,S,,turf,,しば,4880,1
841,写,寫,宀,5,3,,copy,シャ,うつ-す|うつ-る,302,4
842,社,社,示,7,2,,company,シャ,やしろ,314,4
843,車,,車,7,1,,car,シャ,くるま,281,5
844,舎,舍,舌,8,5,,cottage,シャ,,2914,1
845,者,者,老,8,3,,someone,シャ,もの,182,4
846,射,,寸,10,6,,shoot,シャ,い-る,6818,1
847,捨,,手,11,6,,throw away,シャ,す-てる,942,2
848,赦,,赤,11,S,,pardon,シャ,,8569,1
849,斜,,斗,11,S,,diagonal,シャ,なな-め,5031,1
850,煮,煮,火,12,S,,boil,シャ,に-る|に-える|に-やす,2726,1
851,遮,,辵,14,S,1981,intercept,シャ,さえぎ-る,4575,1
852,謝,,言,17,5,,apologize,シャ,あやま-る,2638,1
853,邪,,邑,8,S,,wicked,ジャ,,2351,1
854,蛇,,虫,11,S,1981,snake,ジャ|ダ,へび,4081,1
855,尺,,尸,4,6,,shaku,シャク,,8943,1
856,借,,人,10,4,,borrow,シャク,か-りる,1180,4
857,酌,,酉,10,S,1981,bartending,シャク,く-む,31154,1
858,釈,釋,釆,11,S,,explanation,シャク,,2497,1
859,爵,,爪,17,S,,baron,シャク,,16354,1
860,若,,艸,8,6,,young,ジャク（ニャク）,わか-い|も-しくは,269,3
861,弱,,弓,10,2,,weak,ジャク,よわ-い|よわ-る|よわ-まる|よわ-める,1153,2
862,寂,,宀,11,S,,loneliness,ジャク（セキ）,さび|さび-しい|さび-れる,1795,1
863,手,,手,4,1,,hand,シュ,て（た）,131,4
864,主,,丶,5,3,,master,シュ（ス）,ぬし|おも,1220,4
865,守,,宀,6,3,,protect,シュ（ス）,まも-る|も-り,492,3
866,朱,,木,6,S,,vermilion,シュ,,15652,1
867,取,,又,8,3,,take,シュ,と-る,122,3
868,狩,,犬,9,S,,hunt,シュ,か-る|か-り,11239,1
869,首,,首,9,2,,neck,シュ,くび,598,3
870,殊,,歹,10,S,,particularly,シュ,こと,2835,1
871,珠,,玉,10,S,,pearl,シュ,,13837,1
872,酒,,酉,10,3,,alcoholic drink,シュ,さけ（さか）,939,3
873,腫,,肉,13,S,2010,tumor,シュ,は-れる|は-らす,7454,1
874,種,,禾,14,4,,kind,シュ,たね,879,3
875,趣,,走,15,S,,gist,シュ,おもむき,2112,1
876,寿,壽,士,7,S,,longevity,ジュ,ことぶき,4900,1
877,受,,又,8,3,,accept,ジュ,う-ける|う-かる,138,3
878,呪,,口,8,S,2010,curse,ジュ,のろ-う,8518,1
879,授,,手,11,5,,instruct,ジュ,さず-ける|さず-かる,1782,1
880,需,,雨,14,S,,demand,ジュ,,2321,1
881,儒,,人,16,S,,Confucian,ジュ,,14623,1
882,樹,,木,16,6,,trees,ジュ,,4818,1
